Category: All categories

Day,European Central Bank: (Worldwide)
2019-04-01,35
2019-04-02,53
2019-04-03,55
2019-04-04,48
2019-04-05,38
2019-04-06,15
2019-04-07,27
2019-04-08,48
2019-04-09,41
2019-04-10,89
2019-04-11,43
2019-04-12,33
2019-04-13,23
2019-04-14,22
2019-04-15,32
2019-04-16,32
2019-04-17,37
2019-04-18,31
2019-04-19,25
2019-04-20,13
2019-04-21,8
2019-04-22,23
2019-04-23,36
2019-04-24,32
2019-04-25,37
2019-04-26,29
2019-04-27,30
2019-04-28,25
2019-04-29,47
2019-04-30,42
2019-05-01,29
2019-05-02,43
2019-05-03,37
2019-05-04,19
2019-05-05,21
2019-05-06,40
2019-05-07,47
2019-05-08,40
2019-05-09,39
2019-05-10,38
2019-05-11,21
2019-05-12,29
2019-05-13,55
2019-05-14,53
2019-05-15,41
2019-05-16,29
2019-05-17,31
2019-05-18,18
2019-05-19,16
2019-05-20,38
2019-05-21,47
2019-05-22,43
2019-05-23,32
2019-05-24,33
2019-05-25,24
2019-05-26,19
2019-05-27,45
2019-05-28,49
2019-05-29,35
2019-05-30,28
2019-05-31,35
2019-06-01,14
2019-06-02,17
2019-06-03,49
2019-06-04,27
2019-06-05,44
2019-06-06,100
2019-06-07,49
2019-06-08,18
2019-06-09,18
2019-06-10,39
2019-06-11,50
2019-06-12,48
2019-06-13,59
2019-06-14,48
2019-06-15,18
2019-06-16,36
2019-06-17,55
2019-06-18,90
2019-06-19,61
2019-06-20,47
2019-06-21,37
2019-06-22,21
2019-06-23,20
2019-06-24,43
2019-06-25,47
2019-06-26,51
2019-06-27,55
2019-06-28,37
2019-06-29,16
2019-06-30,28
