Category: All categories

Day,European Central Bank: (Worldwide)
2014-07-01,15
2014-07-02,23
2014-07-03,38
2014-07-04,15
2014-07-05,7
2014-07-06,14
2014-07-07,24
2014-07-08,14
2014-07-09,20
2014-07-10,16
2014-07-11,20
2014-07-12,7
2014-07-13,8
2014-07-14,17
2014-07-15,17
2014-07-16,17
2014-07-17,16
2014-07-18,14
2014-07-19,8
2014-07-20,6
2014-07-21,20
2014-07-22,21
2014-07-23,15
2014-07-24,21
2014-07-25,16
2014-07-26,10
2014-07-27,12
2014-07-28,13
2014-07-29,14
2014-07-30,22
2014-07-31,27
2014-08-01,12
2014-08-02,5
2014-08-03,7
2014-08-04,11
2014-08-05,16
2014-08-06,16
2014-08-07,28
2014-08-08,14
2014-08-09,5
2014-08-10,5
2014-08-11,14
2014-08-12,12
2014-08-13,17
2014-08-14,15
2014-08-15,15
2014-08-16,11
2014-08-17,13
2014-08-18,17
2014-08-19,11
2014-08-20,19
2014-08-21,15
2014-08-22,12
2014-08-23,5
2014-08-24,9
2014-08-25,21
2014-08-26,31
2014-08-27,16
2014-08-28,22
2014-08-29,18
2014-08-30,6
2014-08-31,11
2014-09-01,21
2014-09-02,19
2014-09-03,33
2014-09-04,100
2014-09-05,37
2014-09-06,15
2014-09-07,9
2014-09-08,24
2014-09-09,21
2014-09-10,19
2014-09-11,18
2014-09-12,24
2014-09-13,15
2014-09-14,6
2014-09-15,18
2014-09-16,23
2014-09-17,26
2014-09-18,26
2014-09-19,17
2014-09-20,8
2014-09-21,9
2014-09-22,21
2014-09-23,26
2014-09-24,22
2014-09-25,24
2014-09-26,17
2014-09-27,12
2014-09-28,7
2014-09-29,16
2014-09-30,24
