Category: All categories

Day,European Central Bank: (Worldwide)
2012-10-01,67
2012-10-02,73
2012-10-03,44
2012-10-04,96
2012-10-05,68
2012-10-06,39
2012-10-07,55
2012-10-08,67
2012-10-09,81
2012-10-10,67
2012-10-11,57
2012-10-12,53
2012-10-13,29
2012-10-14,31
2012-10-15,71
2012-10-16,68
2012-10-17,55
2012-10-18,80
2012-10-19,56
2012-10-20,45
2012-10-21,42
2012-10-22,59
2012-10-23,83
2012-10-24,100
2012-10-25,81
2012-10-26,42
2012-10-27,34
2012-10-28,41
2012-10-29,48
2012-10-30,80
2012-10-31,56
2012-11-01,48
2012-11-02,45
2012-11-03,21
2012-11-04,44
2012-11-05,70
2012-11-06,62
2012-11-07,75
2012-11-08,97
2012-11-09,74
2012-11-10,28
2012-11-11,39
2012-11-12,81
2012-11-13,65
2012-11-14,69
2012-11-15,54
2012-11-16,53
2012-11-17,26
2012-11-18,57
2012-11-19,74
2012-11-20,44
2012-11-21,59
2012-11-22,75
2012-11-23,41
2012-11-24,39
2012-11-25,57
2012-11-26,89
2012-11-27,60
2012-11-28,67
2012-11-29,69
2012-11-30,44
2012-12-01,25
2012-12-02,56
2012-12-03,82
2012-12-04,70
2012-12-05,59
2012-12-06,97
2012-12-07,73
2012-12-08,30
2012-12-09,40
2012-12-10,84
2012-12-11,37
2012-12-12,64
2012-12-13,57
2012-12-14,54
2012-12-15,32
2012-12-16,27
2012-12-17,82
2012-12-18,56
2012-12-19,63
2012-12-20,58
2012-12-21,33
2012-12-22,26
2012-12-23,29
2012-12-24,12
2012-12-25,31
2012-12-26,35
2012-12-27,25
2012-12-28,48
2012-12-29,26
2012-12-30,21
2012-12-31,30
