Category: All categories

Day,European Central Bank: (Worldwide)
2015-01-01,2
2015-01-02,6
2015-01-03,3
2015-01-04,4
2015-01-05,9
2015-01-06,7
2015-01-07,7
2015-01-08,7
2015-01-09,6
2015-01-10,3
2015-01-11,3
2015-01-12,8
2015-01-13,9
2015-01-14,11
2015-01-15,11
2015-01-16,12
2015-01-17,5
2015-01-18,8
2015-01-19,13
2015-01-20,15
2015-01-21,24
2015-01-22,91
2015-01-23,32
2015-01-24,13
2015-01-25,10
2015-01-26,13
2015-01-27,12
2015-01-28,10
2015-01-29,9
2015-01-30,6
2015-01-31,5
2015-02-01,4
2015-02-02,9
2015-02-03,9
2015-02-04,11
2015-02-05,11
2015-02-06,7
2015-02-07,2
2015-02-08,4
2015-02-09,7
2015-02-10,9
2015-02-11,6
2015-02-12,7
2015-02-13,6
2015-02-14,3
2015-02-15,4
2015-02-16,5
2015-02-17,7
2015-02-18,6
2015-02-19,8
2015-02-20,7
2015-02-21,3
2015-02-22,4
2015-02-23,8
2015-02-24,8
2015-02-25,8
2015-02-26,6
2015-02-27,6
2015-02-28,4
2015-03-01,4
2015-03-02,5
2015-03-03,6
2015-03-04,9
2015-03-05,17
2015-03-06,7
2015-03-07,4
2015-03-08,5
2015-03-09,12
2015-03-10,8
2015-03-11,10
2015-03-12,7
2015-03-13,6
2015-03-14,5
2015-03-15,4
2015-03-16,17
2015-03-17,19
2015-03-18,100
2015-03-19,22
2015-03-20,9
2015-03-21,5
2015-03-22,5
2015-03-23,8
2015-03-24,7
2015-03-25,8
2015-03-26,6
2015-03-27,6
2015-03-28,3
2015-03-29,2
2015-03-30,4
2015-03-31,6
