Category: All categories

Day,European Central Bank: (Worldwide)
2017-07-01,13
2017-07-02,12
2017-07-03,26
2017-07-04,30
2017-07-05,24
2017-07-06,37
2017-07-07,32
2017-07-08,16
2017-07-09,10
2017-07-10,30
2017-07-11,22
2017-07-12,35
2017-07-13,27
2017-07-14,20
2017-07-15,13
2017-07-16,12
2017-07-17,26
2017-07-18,26
2017-07-19,27
2017-07-20,71
2017-07-21,25
2017-07-22,11
2017-07-23,13
2017-07-24,28
2017-07-25,26
2017-07-26,28
2017-07-27,15
2017-07-28,24
2017-07-29,10
2017-07-30,10
2017-07-31,24
2017-08-01,20
2017-08-02,19
2017-08-03,20
2017-08-04,22
2017-08-05,11
2017-08-06,10
2017-08-07,16
2017-08-08,20
2017-08-09,17
2017-08-10,19
2017-08-11,25
2017-08-12,6
2017-08-13,9
2017-08-14,24
2017-08-15,20
2017-08-16,20
2017-08-17,24
2017-08-18,25
2017-08-19,10
2017-08-20,9
2017-08-21,38
2017-08-22,32
2017-08-23,25
2017-08-24,27
2017-08-25,21
2017-08-26,16
2017-08-27,14
2017-08-28,18
2017-08-29,26
2017-08-30,22
2017-08-31,26
2017-09-01,29
2017-09-02,14
2017-09-03,12
2017-09-04,33
2017-09-05,29
2017-09-06,38
2017-09-07,100
2017-09-08,33
2017-09-09,12
2017-09-10,19
2017-09-11,26
2017-09-12,27
2017-09-13,21
2017-09-14,18
2017-09-15,20
2017-09-16,15
2017-09-17,19
2017-09-18,22
2017-09-19,40
2017-09-20,24
2017-09-21,39
2017-09-22,23
2017-09-23,18
2017-09-24,11
2017-09-25,34
2017-09-26,37
2017-09-27,31
2017-09-28,33
2017-09-29,28
2017-09-30,13
