Category: All categories

Day,European Central Bank: (Worldwide)
2012-04-01,23
2012-04-02,43
2012-04-03,38
2012-04-04,44
2012-04-05,23
2012-04-06,29
2012-04-07,27
2012-04-08,22
2012-04-09,22
2012-04-10,36
2012-04-11,44
2012-04-12,37
2012-04-13,33
2012-04-14,28
2012-04-15,21
2012-04-16,39
2012-04-17,46
2012-04-18,40
2012-04-19,49
2012-04-20,43
2012-04-21,21
2012-04-22,27
2012-04-23,21
2012-04-24,37
2012-04-25,51
2012-04-26,47
2012-04-27,48
2012-04-28,18
2012-04-29,28
2012-04-30,37
2012-05-01,30
2012-05-02,58
2012-05-03,44
2012-05-04,32
2012-05-05,21
2012-05-06,28
2012-05-07,37
2012-05-08,38
2012-05-09,58
2012-05-10,49
2012-05-11,51
2012-05-12,14
2012-05-13,33
2012-05-14,42
2012-05-15,33
2012-05-16,61
2012-05-17,53
2012-05-18,45
2012-05-19,30
2012-05-20,20
2012-05-21,45
2012-05-22,46
2012-05-23,45
2012-05-24,45
2012-05-25,28
2012-05-26,28
2012-05-27,16
2012-05-28,31
2012-05-29,35
2012-05-30,51
2012-05-31,56
2012-06-01,43
2012-06-02,34
2012-06-03,33
2012-06-04,42
2012-06-05,51
2012-06-06,100
2012-06-07,37
2012-06-08,42
2012-06-09,22
2012-06-10,16
2012-06-11,45
2012-06-12,45
2012-06-13,26
2012-06-14,58
2012-06-15,50
2012-06-16,34
2012-06-17,23
2012-06-18,35
2012-06-19,52
2012-06-20,43
2012-06-21,30
2012-06-22,33
2012-06-23,10
2012-06-24,24
2012-06-25,43
2012-06-26,33
2012-06-27,40
2012-06-28,39
2012-06-29,42
2012-06-30,16
