Category: All categories

Day,European Central Bank: (Worldwide)
2014-04-01,13
2014-04-02,15
2014-04-03,25
2014-04-04,13
2014-04-05,5
2014-04-06,9
2014-04-07,11
2014-04-08,13
2014-04-09,10
2014-04-10,12
2014-04-11,9
2014-04-12,5
2014-04-13,4
2014-04-14,10
2014-04-15,8
2014-04-16,11
2014-04-17,9
2014-04-18,5
2014-04-19,6
2014-04-20,3
2014-04-21,6
2014-04-22,10
2014-04-23,11
2014-04-24,14
2014-04-25,9
2014-04-26,6
2014-04-27,5
2014-04-28,9
2014-04-29,11
2014-04-30,10
2014-05-01,5
2014-05-02,8
2014-05-03,4
2014-05-04,7
2014-05-05,9
2014-05-06,12
2014-05-07,10
2014-05-08,24
2014-05-09,10
2014-05-10,4
2014-05-11,8
2014-05-12,10
2014-05-13,13
2014-05-14,14
2014-05-15,11
2014-05-16,13
2014-05-17,6
2014-05-18,7
2014-05-19,15
2014-05-20,12
2014-05-21,10
2014-05-22,12
2014-05-23,12
2014-05-24,5
2014-05-25,7
2014-05-26,11
2014-05-27,16
2014-05-28,15
2014-05-29,11
2014-05-30,15
2014-05-31,5
2014-06-01,5
2014-06-02,18
2014-06-03,19
2014-06-04,23
2014-06-05,100
2014-06-06,30
2014-06-07,14
2014-06-08,12
2014-06-09,16
2014-06-10,16
2014-06-11,12
2014-06-12,15
2014-06-13,10
2014-06-14,6
2014-06-15,9
2014-06-16,13
2014-06-17,12
2014-06-18,12
2014-06-19,5
2014-06-20,12
2014-06-21,4
2014-06-22,4
2014-06-23,8
2014-06-24,13
2014-06-25,6
2014-06-26,7
2014-06-27,8
2014-06-28,3
2014-06-29,7
2014-06-30,9
