Category: All categories

Day,European Central Bank: (Worldwide)
2017-01-01,15
2017-01-02,29
2017-01-03,30
2017-01-04,46
2017-01-05,30
2017-01-06,25
2017-01-07,26
2017-01-08,22
2017-01-09,50
2017-01-10,45
2017-01-11,49
2017-01-12,44
2017-01-13,39
2017-01-14,15
2017-01-15,18
2017-01-16,41
2017-01-17,47
2017-01-18,35
2017-01-19,54
2017-01-20,39
2017-01-21,15
2017-01-22,19
2017-01-23,53
2017-01-24,37
2017-01-25,31
2017-01-26,40
2017-01-27,29
2017-01-28,18
2017-01-29,22
2017-01-30,45
2017-01-31,41
2017-02-01,36
2017-02-02,48
2017-02-03,41
2017-02-04,22
2017-02-05,26
2017-02-06,54
2017-02-07,36
2017-02-08,34
2017-02-09,37
2017-02-10,39
2017-02-11,11
2017-02-12,26
2017-02-13,37
2017-02-14,39
2017-02-15,35
2017-02-16,36
2017-02-17,34
2017-02-18,19
2017-02-19,25
2017-02-20,39
2017-02-21,40
2017-02-22,50
2017-02-23,27
2017-02-24,31
2017-02-25,24
2017-02-26,21
2017-02-27,38
2017-02-28,52
2017-03-01,45
2017-03-02,44
2017-03-03,31
2017-03-04,18
2017-03-05,21
2017-03-06,55
2017-03-07,53
2017-03-08,48
2017-03-09,100
2017-03-10,38
2017-03-11,24
2017-03-12,29
2017-03-13,48
2017-03-14,39
2017-03-15,68
2017-03-16,37
2017-03-17,34
2017-03-18,14
2017-03-19,29
2017-03-20,49
2017-03-21,45
2017-03-22,47
2017-03-23,53
2017-03-24,40
2017-03-25,18
2017-03-26,14
2017-03-27,42
2017-03-28,55
2017-03-29,45
2017-03-30,41
2017-03-31,39
