Category: All categories

Day,European Central Bank: (Worldwide)
2014-10-01,39
2014-10-02,74
2014-10-03,23
2014-10-04,15
2014-10-05,8
2014-10-06,32
2014-10-07,31
2014-10-08,23
2014-10-09,31
2014-10-10,33
2014-10-11,13
2014-10-12,19
2014-10-13,31
2014-10-14,35
2014-10-15,36
2014-10-16,28
2014-10-17,32
2014-10-18,12
2014-10-19,12
2014-10-20,40
2014-10-21,47
2014-10-22,29
2014-10-23,31
2014-10-24,28
2014-10-25,20
2014-10-26,100
2014-10-27,62
2014-10-28,33
2014-10-29,31
2014-10-30,21
2014-10-31,21
2014-11-01,11
2014-11-02,19
2014-11-03,41
2014-11-04,39
2014-11-05,39
2014-11-06,73
2014-11-07,30
2014-11-08,16
2014-11-09,17
2014-11-10,27
2014-11-11,33
2014-11-12,35
2014-11-13,40
2014-11-14,34
2014-11-15,9
2014-11-16,15
2014-11-17,36
2014-11-18,37
2014-11-19,28
2014-11-20,28
2014-11-21,29
2014-11-22,20
2014-11-23,19
2014-11-24,35
2014-11-25,23
2014-11-26,35
2014-11-27,31
2014-11-28,27
2014-11-29,16
2014-11-30,18
2014-12-01,28
2014-12-02,35
2014-12-03,42
2014-12-04,82
2014-12-05,34
2014-12-06,18
2014-12-07,14
2014-12-08,28
2014-12-09,34
2014-12-10,29
2014-12-11,29
2014-12-12,30
2014-12-13,9
2014-12-14,20
2014-12-15,27
2014-12-16,35
2014-12-17,32
2014-12-18,29
2014-12-19,22
2014-12-20,10
2014-12-21,9
2014-12-22,12
2014-12-23,16
2014-12-24,16
2014-12-25,14
2014-12-26,13
2014-12-27,15
2014-12-28,11
2014-12-29,16
2014-12-30,25
2014-12-31,12
