Category: All categories

Day,European Central Bank: (Worldwide)
2017-10-01,13
2017-10-02,24
2017-10-03,17
2017-10-04,33
2017-10-05,40
2017-10-06,33
2017-10-07,11
2017-10-08,14
2017-10-09,32
2017-10-10,30
2017-10-11,23
2017-10-12,31
2017-10-13,21
2017-10-14,15
2017-10-15,12
2017-10-16,33
2017-10-17,29
2017-10-18,45
2017-10-19,31
2017-10-20,30
2017-10-21,8
2017-10-22,14
2017-10-23,35
2017-10-24,32
2017-10-25,45
2017-10-26,100
2017-10-27,59
2017-10-28,18
2017-10-29,13
2017-10-30,32
2017-10-31,27
2017-11-01,24
2017-11-02,38
2017-11-03,28
2017-11-04,14
2017-11-05,13
2017-11-06,40
2017-11-07,34
2017-11-08,29
2017-11-09,22
2017-11-10,23
2017-11-11,12
2017-11-12,16
2017-11-13,32
2017-11-14,31
2017-11-15,21
2017-11-16,25
2017-11-17,21
2017-11-18,16
2017-11-19,14
2017-11-20,34
2017-11-21,37
2017-11-22,21
2017-11-23,36
2017-11-24,26
2017-11-25,16
2017-11-26,15
2017-11-27,34
2017-11-28,32
2017-11-29,30
2017-11-30,28
2017-12-01,23
2017-12-02,11
2017-12-03,13
2017-12-04,27
2017-12-05,31
2017-12-06,29
2017-12-07,25
2017-12-08,18
2017-12-09,19
2017-12-10,11
2017-12-11,18
2017-12-12,28
2017-12-13,39
2017-12-14,47
2017-12-15,33
2017-12-16,14
2017-12-17,16
2017-12-18,32
2017-12-19,31
2017-12-20,26
2017-12-21,21
2017-12-22,18
2017-12-23,11
2017-12-24,5
2017-12-25,14
2017-12-26,13
2017-12-27,14
2017-12-28,16
2017-12-29,13
2017-12-30,7
2017-12-31,8
