Category: All categories

Day,European Central Bank: (Worldwide)
2013-04-01,12
2013-04-02,29
2013-04-03,28
2013-04-04,51
2013-04-05,25
2013-04-06,10
2013-04-07,18
2013-04-08,36
2013-04-09,28
2013-04-10,32
2013-04-11,28
2013-04-12,23
2013-04-13,19
2013-04-14,7
2013-04-15,25
2013-04-16,30
2013-04-17,23
2013-04-18,24
2013-04-19,21
2013-04-20,9
2013-04-21,12
2013-04-22,31
2013-04-23,29
2013-04-24,33
2013-04-25,27
2013-04-26,21
2013-04-27,17
2013-04-28,12
2013-04-29,30
2013-04-30,36
2013-05-01,21
2013-05-02,100
2013-05-03,49
2013-05-04,23
2013-05-05,17
2013-05-06,28
2013-05-07,34
2013-05-08,27
2013-05-09,23
2013-05-10,23
2013-05-11,20
2013-05-12,17
2013-05-13,32
2013-05-14,22
2013-05-15,21
2013-05-16,23
2013-05-17,22
2013-05-18,11
2013-05-19,18
2013-05-20,23
2013-05-21,15
2013-05-22,32
2013-05-23,22
2013-05-24,16
2013-05-25,12
2013-05-26,20
2013-05-27,22
2013-05-28,23
2013-05-29,31
2013-05-30,24
2013-05-31,26
2013-06-01,15
2013-06-02,15
2013-06-03,27
2013-06-04,31
2013-06-05,27
2013-06-06,45
2013-06-07,26
2013-06-08,17
2013-06-09,15
2013-06-10,26
2013-06-11,40
2013-06-12,19
2013-06-13,31
2013-06-14,28
2013-06-15,12
2013-06-16,14
2013-06-17,21
2013-06-18,22
2013-06-19,29
2013-06-20,21
2013-06-21,20
2013-06-22,8
2013-06-23,14
2013-06-24,24
2013-06-25,27
2013-06-26,21
2013-06-27,15
2013-06-28,19
2013-06-29,8
2013-06-30,13
