Category: All categories

Day,European Central Bank: (Worldwide)
2018-01-01,7
2018-01-02,28
2018-01-03,56
2018-01-04,34
2018-01-05,35
2018-01-06,16
2018-01-07,21
2018-01-08,29
2018-01-09,49
2018-01-10,58
2018-01-11,53
2018-01-12,42
2018-01-13,13
2018-01-14,19
2018-01-15,41
2018-01-16,37
2018-01-17,47
2018-01-18,42
2018-01-19,33
2018-01-20,24
2018-01-21,17
2018-01-22,63
2018-01-23,58
2018-01-24,56
2018-01-25,100
2018-01-26,52
2018-01-27,14
2018-01-28,23
2018-01-29,50
2018-01-30,40
2018-01-31,41
2018-02-01,36
2018-02-02,33
2018-02-03,20
2018-02-04,23
2018-02-05,45
2018-02-06,50
2018-02-07,49
2018-02-08,39
2018-02-09,32
2018-02-10,19
2018-02-11,22
2018-02-12,34
2018-02-13,40
2018-02-14,36
2018-02-15,55
2018-02-16,33
2018-02-17,17
2018-02-18,20
2018-02-19,66
2018-02-20,56
2018-02-21,49
2018-02-22,50
2018-02-23,48
2018-02-24,19
2018-02-25,37
2018-02-26,46
2018-02-27,49
2018-02-28,34
2018-03-01,36
2018-03-02,29
2018-03-03,19
2018-03-04,28
2018-03-05,40
2018-03-06,45
2018-03-07,43
2018-03-08,79
2018-03-09,43
2018-03-10,19
2018-03-11,20
2018-03-12,44
2018-03-13,46
2018-03-14,40
2018-03-15,49
2018-03-16,32
2018-03-17,17
2018-03-18,22
2018-03-19,47
2018-03-20,42
2018-03-21,48
2018-03-22,29
2018-03-23,40
2018-03-24,17
2018-03-25,22
2018-03-26,38
2018-03-27,50
2018-03-28,24
2018-03-29,33
2018-03-30,14
2018-03-31,21
