Category: All categories

Day,European Central Bank: (Worldwide)
2016-01-01,3
2016-01-02,4
2016-01-03,5
2016-01-04,10
2016-01-05,8
2016-01-06,8
2016-01-07,7
2016-01-08,8
2016-01-09,4
2016-01-10,6
2016-01-11,8
2016-01-12,10
2016-01-13,8
2016-01-14,8
2016-01-15,7
2016-01-16,2
2016-01-17,4
2016-01-18,8
2016-01-19,10
2016-01-20,12
2016-01-21,25
2016-01-22,14
2016-01-23,6
2016-01-24,6
2016-01-25,10
2016-01-26,8
2016-01-27,7
2016-01-28,9
2016-01-29,8
2016-01-30,4
2016-01-31,4
2016-02-01,12
2016-02-02,9
2016-02-03,7
2016-02-04,8
2016-02-05,8
2016-02-06,4
2016-02-07,5
2016-02-08,11
2016-02-09,11
2016-02-10,8
2016-02-11,8
2016-02-12,7
2016-02-13,4
2016-02-14,3
2016-02-15,14
2016-02-16,13
2016-02-17,10
2016-02-18,8
2016-02-19,8
2016-02-20,4
2016-02-21,6
2016-02-22,9
2016-02-23,8
2016-02-24,11
2016-02-25,8
2016-02-26,8
2016-02-27,4
2016-02-28,4
2016-02-29,9
2016-03-01,8
2016-03-02,10
2016-03-03,10
2016-03-04,10
2016-03-05,3
2016-03-06,4
2016-03-07,16
2016-03-08,12
2016-03-09,16
2016-03-10,100
2016-03-11,34
2016-03-12,12
2016-03-13,11
2016-03-14,14
2016-03-15,11
2016-03-16,11
2016-03-17,12
2016-03-18,8
2016-03-19,6
2016-03-20,9
2016-03-21,10
2016-03-22,10
2016-03-23,9
2016-03-24,8
2016-03-25,6
2016-03-26,6
2016-03-27,3
2016-03-28,6
2016-03-29,11
2016-03-30,10
2016-03-31,10
