Category: All categories

Day,European Central Bank: (Worldwide)
2017-04-01,21
2017-04-02,20
2017-04-03,45
2017-04-04,60
2017-04-05,39
2017-04-06,49
2017-04-07,40
2017-04-08,18
2017-04-09,27
2017-04-10,42
2017-04-11,46
2017-04-12,23
2017-04-13,37
2017-04-14,33
2017-04-15,19
2017-04-16,17
2017-04-17,21
2017-04-18,51
2017-04-19,54
2017-04-20,36
2017-04-21,51
2017-04-22,22
2017-04-23,23
2017-04-24,47
2017-04-25,45
2017-04-26,46
2017-04-27,76
2017-04-28,38
2017-04-29,20
2017-04-30,35
2017-05-01,28
2017-05-02,42
2017-05-03,51
2017-05-04,59
2017-05-05,42
2017-05-06,22
2017-05-07,21
2017-05-08,40
2017-05-09,52
2017-05-10,58
2017-05-11,54
2017-05-12,30
2017-05-13,26
2017-05-14,23
2017-05-15,39
2017-05-16,49
2017-05-17,39
2017-05-18,57
2017-05-19,37
2017-05-20,23
2017-05-21,23
2017-05-22,39
2017-05-23,38
2017-05-24,49
2017-05-25,45
2017-05-26,25
2017-05-27,20
2017-05-28,17
2017-05-29,46
2017-05-30,51
2017-05-31,47
2017-06-01,51
2017-06-02,23
2017-06-03,24
2017-06-04,27
2017-06-05,42
2017-06-06,52
2017-06-07,53
2017-06-08,100
2017-06-09,51
2017-06-10,21
2017-06-11,32
2017-06-12,44
2017-06-13,41
2017-06-14,40
2017-06-15,48
2017-06-16,32
2017-06-17,30
2017-06-18,34
2017-06-19,31
2017-06-20,46
2017-06-21,34
2017-06-22,33
2017-06-23,31
2017-06-24,24
2017-06-25,28
2017-06-26,44
2017-06-27,67
2017-06-28,59
2017-06-29,43
2017-06-30,43
