Category: All categories

Day,European Central Bank: (Worldwide)
2016-10-01,8
2016-10-02,10
2016-10-03,12
2016-10-04,22
2016-10-05,22
2016-10-06,20
2016-10-07,15
2016-10-08,7
2016-10-09,10
2016-10-10,14
2016-10-11,14
2016-10-12,13
2016-10-13,17
2016-10-14,13
2016-10-15,7
2016-10-16,9
2016-10-17,17
2016-10-18,13
2016-10-19,20
2016-10-20,41
2016-10-21,17
2016-10-22,8
2016-10-23,9
2016-10-24,19
2016-10-25,16
2016-10-26,18
2016-10-27,18
2016-10-28,14
2016-10-29,7
2016-10-30,7
2016-10-31,16
2016-11-01,9
2016-11-02,13
2016-11-03,19
2016-11-04,14
2016-11-05,5
2016-11-06,10
2016-11-07,22
2016-11-08,19
2016-11-09,19
2016-11-10,13
2016-11-11,10
2016-11-12,10
2016-11-13,6
2016-11-14,20
2016-11-15,20
2016-11-16,20
2016-11-17,15
2016-11-18,13
2016-11-19,11
2016-11-20,9
2016-11-21,23
2016-11-22,17
2016-11-23,17
2016-11-24,21
2016-11-25,11
2016-11-26,6
2016-11-27,10
2016-11-28,22
2016-11-29,25
2016-11-30,21
2016-12-01,17
2016-12-02,20
2016-12-03,13
2016-12-04,11
2016-12-05,20
2016-12-06,27
2016-12-07,33
2016-12-08,100
2016-12-09,41
2016-12-10,18
2016-12-11,12
2016-12-12,30
2016-12-13,16
2016-12-14,20
2016-12-15,23
2016-12-16,22
2016-12-17,9
2016-12-18,6
2016-12-19,18
2016-12-20,19
2016-12-21,17
2016-12-22,14
2016-12-23,15
2016-12-24,8
2016-12-25,6
2016-12-26,7
2016-12-27,18
2016-12-28,17
2016-12-29,11
2016-12-30,15
2016-12-31,5
