Category: All categories

Day,European Central Bank: (Worldwide)
2019-01-01,12
2019-01-02,31
2019-01-03,28
2019-01-04,29
2019-01-05,22
2019-01-06,23
2019-01-07,40
2019-01-08,49
2019-01-09,46
2019-01-10,47
2019-01-11,33
2019-01-12,16
2019-01-13,25
2019-01-14,40
2019-01-15,50
2019-01-16,48
2019-01-17,37
2019-01-18,33
2019-01-19,22
2019-01-20,18
2019-01-21,36
2019-01-22,40
2019-01-23,40
2019-01-24,75
2019-01-25,42
2019-01-26,41
2019-01-27,29
2019-01-28,35
2019-01-29,41
2019-01-30,34
2019-01-31,33
2019-02-01,31
2019-02-02,13
2019-02-03,12
2019-02-04,22
2019-02-05,33
2019-02-06,29
2019-02-07,24
2019-02-08,26
2019-02-09,13
2019-02-10,12
2019-02-11,26
2019-02-12,36
2019-02-13,26
2019-02-14,30
2019-02-15,34
2019-02-16,14
2019-02-17,12
2019-02-18,41
2019-02-19,38
2019-02-20,31
2019-02-21,39
2019-02-22,27
2019-02-23,9
2019-02-24,19
2019-02-25,32
2019-02-26,27
2019-02-27,25
2019-02-28,20
2019-03-01,26
2019-03-02,11
2019-03-03,14
2019-03-04,22
2019-03-05,26
2019-03-06,35
2019-03-07,100
2019-03-08,41
2019-03-09,23
2019-03-10,14
2019-03-11,42
2019-03-12,37
2019-03-13,34
2019-03-14,27
2019-03-15,24
2019-03-16,24
2019-03-17,12
2019-03-18,38
2019-03-19,26
2019-03-20,31
2019-03-21,43
2019-03-22,20
2019-03-23,16
2019-03-24,15
2019-03-25,27
2019-03-26,28
2019-03-27,33
2019-03-28,40
2019-03-29,24
2019-03-30,11
2019-03-31,16
