Category: All categories

Day,European Central Bank: (Worldwide)
2018-07-01,22
2018-07-02,33
2018-07-03,29
2018-07-04,30
2018-07-05,36
2018-07-06,28
2018-07-07,14
2018-07-08,16
2018-07-09,33
2018-07-10,50
2018-07-11,31
2018-07-12,45
2018-07-13,42
2018-07-14,17
2018-07-15,14
2018-07-16,37
2018-07-17,24
2018-07-18,29
2018-07-19,40
2018-07-20,31
2018-07-21,13
2018-07-22,20
2018-07-23,31
2018-07-24,34
2018-07-25,44
2018-07-26,70
2018-07-27,40
2018-07-28,16
2018-07-29,23
2018-07-30,37
2018-07-31,44
2018-08-01,22
2018-08-02,43
2018-08-03,36
2018-08-04,23
2018-08-05,20
2018-08-06,32
2018-08-07,41
2018-08-08,32
2018-08-09,29
2018-08-10,40
2018-08-11,23
2018-08-12,9
2018-08-13,42
2018-08-14,35
2018-08-15,28
2018-08-16,23
2018-08-17,28
2018-08-18,12
2018-08-19,22
2018-08-20,27
2018-08-21,35
2018-08-22,38
2018-08-23,31
2018-08-24,35
2018-08-25,13
2018-08-26,14
2018-08-27,22
2018-08-28,30
2018-08-29,34
2018-08-30,31
2018-08-31,38
2018-09-01,18
2018-09-02,21
2018-09-03,52
2018-09-04,40
2018-09-05,48
2018-09-06,28
2018-09-07,42
2018-09-08,26
2018-09-09,15
2018-09-10,41
2018-09-11,41
2018-09-12,53
2018-09-13,100
2018-09-14,44
2018-09-15,16
2018-09-16,27
2018-09-17,46
2018-09-18,44
2018-09-19,39
2018-09-20,43
2018-09-21,39
2018-09-22,24
2018-09-23,23
2018-09-24,43
2018-09-25,42
2018-09-26,42
2018-09-27,43
2018-09-28,35
2018-09-29,21
2018-09-30,18
