Category: All categories

Day,European Central Bank: (Worldwide)
2018-10-01,52
2018-10-02,50
2018-10-03,32
2018-10-04,46
2018-10-05,31
2018-10-06,16
2018-10-07,19
2018-10-08,51
2018-10-09,48
2018-10-10,41
2018-10-11,58
2018-10-12,40
2018-10-13,26
2018-10-14,28
2018-10-15,51
2018-10-16,44
2018-10-17,49
2018-10-18,48
2018-10-19,36
2018-10-20,15
2018-10-21,28
2018-10-22,48
2018-10-23,41
2018-10-24,47
2018-10-25,83
2018-10-26,63
2018-10-27,26
2018-10-28,18
2018-10-29,53
2018-10-30,43
2018-10-31,62
2018-11-01,31
2018-11-02,48
2018-11-03,20
2018-11-04,31
2018-11-05,56
2018-11-06,58
2018-11-07,45
2018-11-08,68
2018-11-09,48
2018-11-10,20
2018-11-11,40
2018-11-12,48
2018-11-13,49
2018-11-14,54
2018-11-15,47
2018-11-16,45
2018-11-17,20
2018-11-18,19
2018-11-19,45
2018-11-20,36
2018-11-21,44
2018-11-22,45
2018-11-23,42
2018-11-24,16
2018-11-25,19
2018-11-26,58
2018-11-27,51
2018-11-28,41
2018-11-29,64
2018-11-30,39
2018-12-01,16
2018-12-02,16
2018-12-03,50
2018-12-04,39
2018-12-05,37
2018-12-06,31
2018-12-07,43
2018-12-08,22
2018-12-09,34
2018-12-10,53
2018-12-11,64
2018-12-12,47
2018-12-13,100
2018-12-14,50
2018-12-15,21
2018-12-16,43
2018-12-17,50
2018-12-18,51
2018-12-19,48
2018-12-20,48
2018-12-21,26
2018-12-22,16
2018-12-23,26
2018-12-24,23
2018-12-25,27
2018-12-26,27
2018-12-27,31
2018-12-28,35
2018-12-29,22
2018-12-30,14
2018-12-31,21
