Category: All categories

Day,European Central Bank: (Worldwide)
2015-07-01,46
2015-07-02,48
2015-07-03,29
2015-07-04,20
2015-07-05,41
2015-07-06,100
2015-07-07,54
2015-07-08,44
2015-07-09,30
2015-07-10,21
2015-07-11,20
2015-07-12,20
2015-07-13,37
2015-07-14,27
2015-07-15,31
2015-07-16,39
2015-07-17,29
2015-07-18,16
2015-07-19,23
2015-07-20,32
2015-07-21,27
2015-07-22,20
2015-07-23,27
2015-07-24,26
2015-07-25,11
2015-07-26,8
2015-07-27,19
2015-07-28,17
2015-07-29,20
2015-07-30,23
2015-07-31,24
2015-08-01,11
2015-08-02,16
2015-08-03,21
2015-08-04,16
2015-08-05,26
2015-08-06,22
2015-08-07,18
2015-08-08,6
2015-08-09,11
2015-08-10,24
2015-08-11,17
2015-08-12,18
2015-08-13,18
2015-08-14,15
2015-08-15,5
2015-08-16,10
2015-08-17,23
2015-08-18,21
2015-08-19,23
2015-08-20,23
2015-08-21,17
2015-08-22,13
2015-08-23,8
2015-08-24,20
2015-08-25,29
2015-08-26,22
2015-08-27,19
2015-08-28,18
2015-08-29,9
2015-08-30,12
2015-08-31,21
2015-09-01,17
2015-09-02,26
2015-09-03,58
2015-09-04,25
2015-09-05,8
2015-09-06,18
2015-09-07,20
2015-09-08,22
2015-09-09,31
2015-09-10,24
2015-09-11,17
2015-09-12,8
2015-09-13,13
2015-09-14,22
2015-09-15,28
2015-09-16,24
2015-09-17,17
2015-09-18,19
2015-09-19,9
2015-09-20,12
2015-09-21,24
2015-09-22,22
2015-09-23,25
2015-09-24,33
2015-09-25,16
2015-09-26,10
2015-09-27,12
2015-09-28,20
2015-09-29,29
2015-09-30,30
