Category: All categories

Day,European Central Bank: (Worldwide)
2018-04-01,9
2018-04-02,19
2018-04-03,22
2018-04-04,16
2018-04-05,15
2018-04-06,20
2018-04-07,4
2018-04-08,9
2018-04-09,16
2018-04-10,22
2018-04-11,25
2018-04-12,22
2018-04-13,18
2018-04-14,9
2018-04-15,12
2018-04-16,15
2018-04-17,16
2018-04-18,25
2018-04-19,23
2018-04-20,22
2018-04-21,7
2018-04-22,8
2018-04-23,27
2018-04-24,21
2018-04-25,20
2018-04-26,38
2018-04-27,18
2018-04-28,14
2018-04-29,9
2018-04-30,19
2018-05-01,10
2018-05-02,24
2018-05-03,21
2018-05-04,19
2018-05-05,13
2018-05-06,9
2018-05-07,21
2018-05-08,24
2018-05-09,17
2018-05-10,19
2018-05-11,19
2018-05-12,9
2018-05-13,11
2018-05-14,23
2018-05-15,23
2018-05-16,24
2018-05-17,21
2018-05-18,16
2018-05-19,9
2018-05-20,5
2018-05-21,20
2018-05-22,19
2018-05-23,18
2018-05-24,22
2018-05-25,16
2018-05-26,12
2018-05-27,11
2018-05-28,20
2018-05-29,29
2018-05-30,26
2018-05-31,17
2018-06-01,17
2018-06-02,10
2018-06-03,17
2018-06-04,26
2018-06-05,21
2018-06-06,25
2018-06-07,23
2018-06-08,27
2018-06-09,13
2018-06-10,13
2018-06-11,21
2018-06-12,18
2018-06-13,41
2018-06-14,100
2018-06-15,40
2018-06-16,12
2018-06-17,15
2018-06-18,27
2018-06-19,18
2018-06-20,22
2018-06-21,21
2018-06-22,16
2018-06-23,5
2018-06-24,10
2018-06-25,20
2018-06-26,18
2018-06-27,17
2018-06-28,17
2018-06-29,20
2018-06-30,10
