Category: All categories

Day,European Central Bank: (Worldwide)
2012-07-01,19
2012-07-02,20
2012-07-03,20
2012-07-04,21
2012-07-05,64
2012-07-06,27
2012-07-07,14
2012-07-08,14
2012-07-09,19
2012-07-10,17
2012-07-11,18
2012-07-12,20
2012-07-13,14
2012-07-14,10
2012-07-15,3
2012-07-16,15
2012-07-17,18
2012-07-18,21
2012-07-19,11
2012-07-20,17
2012-07-21,10
2012-07-22,10
2012-07-23,15
2012-07-24,18
2012-07-25,13
2012-07-26,27
2012-07-27,33
2012-07-28,11
2012-07-29,10
2012-07-30,19
2012-07-31,25
2012-08-01,29
2012-08-02,87
2012-08-03,20
2012-08-04,15
2012-08-05,10
2012-08-06,18
2012-08-07,23
2012-08-08,12
2012-08-09,14
2012-08-10,14
2012-08-11,5
2012-08-12,7
2012-08-13,16
2012-08-14,11
2012-08-15,9
2012-08-16,17
2012-08-17,12
2012-08-18,7
2012-08-19,7
2012-08-20,19
2012-08-21,24
2012-08-22,23
2012-08-23,14
2012-08-24,11
2012-08-25,7
2012-08-26,12
2012-08-27,17
2012-08-28,20
2012-08-29,14
2012-08-30,15
2012-08-31,15
2012-09-01,9
2012-09-02,12
2012-09-03,19
2012-09-04,24
2012-09-05,32
2012-09-06,100
2012-09-07,50
2012-09-08,18
2012-09-09,18
2012-09-10,26
2012-09-11,23
2012-09-12,28
2012-09-13,24
2012-09-14,18
2012-09-15,16
2012-09-16,16
2012-09-17,20
2012-09-18,22
2012-09-19,23
2012-09-20,19
2012-09-21,23
2012-09-22,9
2012-09-23,13
2012-09-24,19
2012-09-25,17
2012-09-26,21
2012-09-27,19
2012-09-28,15
2012-09-29,10
2012-09-30,10
