Category: All categories

Day,European Central Bank: (Worldwide)
2014-01-01,21
2014-01-02,44
2014-01-03,20
2014-01-04,17
2014-01-05,34
2014-01-06,45
2014-01-07,38
2014-01-08,43
2014-01-09,88
2014-01-10,52
2014-01-11,30
2014-01-12,29
2014-01-13,59
2014-01-14,46
2014-01-15,46
2014-01-16,34
2014-01-17,45
2014-01-18,17
2014-01-19,25
2014-01-20,46
2014-01-21,50
2014-01-22,42
2014-01-23,43
2014-01-24,33
2014-01-25,25
2014-01-26,21
2014-01-27,33
2014-01-28,43
2014-01-29,47
2014-01-30,44
2014-01-31,37
2014-02-01,16
2014-02-02,18
2014-02-03,44
2014-02-04,43
2014-02-05,59
2014-02-06,100
2014-02-07,48
2014-02-08,21
2014-02-09,39
2014-02-10,42
2014-02-11,40
2014-02-12,48
2014-02-13,41
2014-02-14,33
2014-02-15,18
2014-02-16,13
2014-02-17,31
2014-02-18,44
2014-02-19,38
2014-02-20,37
2014-02-21,32
2014-02-22,23
2014-02-23,13
2014-02-24,50
2014-02-25,44
2014-02-26,56
2014-02-27,28
2014-02-28,33
2014-03-01,13
2014-03-02,23
2014-03-03,34
2014-03-04,35
2014-03-05,42
2014-03-06,84
2014-03-07,25
2014-03-08,19
2014-03-09,20
2014-03-10,45
2014-03-11,49
2014-03-12,33
2014-03-13,41
2014-03-14,28
2014-03-15,15
2014-03-16,24
2014-03-17,36
2014-03-18,40
2014-03-19,34
2014-03-20,37
2014-03-21,29
2014-03-22,15
2014-03-23,22
2014-03-24,48
2014-03-25,40
2014-03-26,30
2014-03-27,38
2014-03-28,37
2014-03-29,15
2014-03-30,27
2014-03-31,46
