date,hits,keyword
2018-04-01T00:00:00Z,1,Mario Draghi
2018-05-01T00:00:00Z,1,Mario Draghi
2018-06-01T00:00:00Z,2,Mario Draghi
2018-07-01T00:00:00Z,1,Mario Draghi
2018-08-01T00:00:00Z,1,Mario Draghi
2018-09-01T00:00:00Z,1,Mario Draghi
2018-10-01T00:00:00Z,2,Mario Draghi
2018-11-01T00:00:00Z,1,Mario Draghi
2018-12-01T00:00:00Z,1,Mario Draghi
2019-01-01T00:00:00Z,1,Mario Draghi
2019-02-01T00:00:00Z,1,Mario Draghi
2019-03-01T00:00:00Z,1,Mario Draghi
2019-04-01T00:00:00Z,1,Mario Draghi
2019-05-01T00:00:00Z,1,Mario Draghi
2019-06-01T00:00:00Z,2,Mario Draghi
2019-07-01T00:00:00Z,2,Mario Draghi
2019-08-01T00:00:00Z,1,Mario Draghi
2019-09-01T00:00:00Z,3,Mario Draghi
2019-10-01T00:00:00Z,4,Mario Draghi
2019-11-01T00:00:00Z,2,Mario Draghi
2019-12-01T00:00:00Z,1,Mario Draghi
2020-01-01T00:00:00Z,1,Mario Draghi
2020-02-01T00:00:00Z,1,Mario Draghi
2020-03-01T00:00:00Z,5,Mario Draghi
2020-04-01T00:00:00Z,3,Mario Draghi
2020-05-01T00:00:00Z,1,Mario Draghi
2020-06-01T00:00:00Z,1,Mario Draghi
2020-07-01T00:00:00Z,1,Mario Draghi
2020-08-01T00:00:00Z,2,Mario Draghi
2020-09-01T00:00:00Z,1,Mario Draghi
2020-10-01T00:00:00Z,1,Mario Draghi
2020-11-01T00:00:00Z,1,Mario Draghi
2020-12-01T00:00:00Z,1,Mario Draghi
2021-01-01T00:00:00Z,3,Mario Draghi
2021-02-01T00:00:00Z,100,Mario Draghi
2021-03-01T00:00:00Z,12,Mario Draghi
2021-04-01T00:00:00Z,7,Mario Draghi
2021-05-01T00:00:00Z,4,Mario Draghi
2021-06-01T00:00:00Z,4,Mario Draghi
2021-07-01T00:00:00Z,4,Mario Draghi
2021-08-01T00:00:00Z,3,Mario Draghi
2012-01-01T00:00:00Z,26,Christine Lagarde
2012-02-01T00:00:00Z,19,Christine Lagarde
2012-03-01T00:00:00Z,16,Christine Lagarde
2012-04-01T00:00:00Z,18,Christine Lagarde
2012-05-01T00:00:00Z,37,Christine Lagarde
2012-06-01T00:00:00Z,21,Christine Lagarde
2012-07-01T00:00:00Z,14,Christine Lagarde
2012-08-01T00:00:00Z,10,Christine Lagarde
2012-09-01T00:00:00Z,13,Christine Lagarde
2012-10-01T00:00:00Z,17,Christine Lagarde
2012-11-01T00:00:00Z,13,Christine Lagarde
2012-12-01T00:00:00Z,10,Christine Lagarde
2013-01-01T00:00:00Z,12,Christine Lagarde
2013-02-01T00:00:00Z,11,Christine Lagarde
2013-03-01T00:00:00Z,24,Christine Lagarde
2013-04-01T00:00:00Z,16,Christine Lagarde
2013-05-01T00:00:00Z,30,Christine Lagarde
2013-06-01T00:00:00Z,25,Christine Lagarde
2013-07-01T00:00:00Z,10,Christine Lagarde
2013-08-01T00:00:00Z,10,Christine Lagarde
2013-09-01T00:00:00Z,11,Christine Lagarde
2013-10-01T00:00:00Z,19,Christine Lagarde
2013-11-01T00:00:00Z,12,Christine Lagarde
2013-12-01T00:00:00Z,10,Christine Lagarde
2014-01-01T00:00:00Z,11,Christine Lagarde
2014-02-01T00:00:00Z,21,Christine Lagarde
2014-03-01T00:00:00Z,14,Christine Lagarde
2014-04-01T00:00:00Z,13,Christine Lagarde
2014-05-01T00:00:00Z,25,Christine Lagarde
2014-06-01T00:00:00Z,20,Christine Lagarde
2014-07-01T00:00:00Z,18,Christine Lagarde
2014-08-01T00:00:00Z,24,Christine Lagarde
2014-09-01T00:00:00Z,9,Christine Lagarde
2014-10-01T00:00:00Z,12,Christine Lagarde
2014-11-01T00:00:00Z,11,Christine Lagarde
2014-12-01T00:00:00Z,9,Christine Lagarde
2015-01-01T00:00:00Z,18,Christine Lagarde
2015-02-01T00:00:00Z,19,Christine Lagarde
2015-03-01T00:00:00Z,14,Christine Lagarde
2015-04-01T00:00:00Z,16,Christine Lagarde
2015-05-01T00:00:00Z,12,Christine Lagarde
2015-06-01T00:00:00Z,32,Christine Lagarde
2015-07-01T00:00:00Z,35,Christine Lagarde
2015-08-01T00:00:00Z,10,Christine Lagarde
2015-09-01T00:00:00Z,32,Christine Lagarde
2015-10-01T00:00:00Z,12,Christine Lagarde
2015-11-01T00:00:00Z,11,Christine Lagarde
2015-12-01T00:00:00Z,18,Christine Lagarde
2016-01-01T00:00:00Z,18,Christine Lagarde
2016-02-01T00:00:00Z,16,Christine Lagarde
2016-03-01T00:00:00Z,13,Christine Lagarde
2016-04-01T00:00:00Z,21,Christine Lagarde
2016-05-01T00:00:00Z,14,Christine Lagarde
2016-06-01T00:00:00Z,13,Christine Lagarde
2016-07-01T00:00:00Z,15,Christine Lagarde
2016-08-01T00:00:00Z,6,Christine Lagarde
2016-09-01T00:00:00Z,11,Christine Lagarde
2016-10-01T00:00:00Z,11,Christine Lagarde
2016-11-01T00:00:00Z,10,Christine Lagarde
2016-12-01T00:00:00Z,51,Christine Lagarde
2017-01-01T00:00:00Z,10,Christine Lagarde
2017-02-01T00:00:00Z,9,Christine Lagarde
2017-03-01T00:00:00Z,7,Christine Lagarde
2017-04-01T00:00:00Z,11,Christine Lagarde
2017-05-01T00:00:00Z,14,Christine Lagarde
2017-06-01T00:00:00Z,8,Christine Lagarde
2017-07-01T00:00:00Z,14,Christine Lagarde
2017-08-01T00:00:00Z,6,Christine Lagarde
2017-09-01T00:00:00Z,6,Christine Lagarde
2017-10-01T00:00:00Z,9,Christine Lagarde
2017-11-01T00:00:00Z,6,Christine Lagarde
2017-12-01T00:00:00Z,7,Christine Lagarde
2018-01-01T00:00:00Z,12,Christine Lagarde
2018-02-01T00:00:00Z,13,Christine Lagarde
2018-03-01T00:00:00Z,9,Christine Lagarde
2018-04-01T00:00:00Z,9,Christine Lagarde
2018-05-01T00:00:00Z,12,Christine Lagarde
2018-06-01T00:00:00Z,14,Christine Lagarde
2018-07-01T00:00:00Z,10,Christine Lagarde
2018-08-01T00:00:00Z,6,Christine Lagarde
2018-09-01T00:00:00Z,17,Christine Lagarde
2018-10-01T00:00:00Z,18,Christine Lagarde
2018-11-01T00:00:00Z,11,Christine Lagarde
2018-12-01T00:00:00Z,14,Christine Lagarde
2019-01-01T00:00:00Z,12,Christine Lagarde
2019-02-01T00:00:00Z,10,Christine Lagarde
2019-03-01T00:00:00Z,9,Christine Lagarde
2019-04-01T00:00:00Z,12,Christine Lagarde
2019-05-01T00:00:00Z,9,Christine Lagarde
2019-06-01T00:00:00Z,13,Christine Lagarde
2019-07-01T00:00:00Z,100,Christine Lagarde
2019-08-01T00:00:00Z,15,Christine Lagarde
2019-09-01T00:00:00Z,21,Christine Lagarde
2019-10-01T00:00:00Z,30,Christine Lagarde
2019-11-01T00:00:00Z,25,Christine Lagarde
2019-12-01T00:00:00Z,19,Christine Lagarde
2020-01-01T00:00:00Z,13,Christine Lagarde
2020-02-01T00:00:00Z,14,Christine Lagarde
2020-03-01T00:00:00Z,61,Christine Lagarde
2020-04-01T00:00:00Z,23,Christine Lagarde
2020-05-01T00:00:00Z,13,Christine Lagarde
2020-06-01T00:00:00Z,25,Christine Lagarde
2020-07-01T00:00:00Z,12,Christine Lagarde
2020-08-01T00:00:00Z,7,Christine Lagarde
2020-09-01T00:00:00Z,9,Christine Lagarde
2020-10-01T00:00:00Z,13,Christine Lagarde
2020-11-01T00:00:00Z,11,Christine Lagarde
2020-12-01T00:00:00Z,20,Christine Lagarde
2021-01-01T00:00:00Z,18,Christine Lagarde
2021-02-01T00:00:00Z,22,Christine Lagarde
2021-03-01T00:00:00Z,12,Christine Lagarde
2021-04-01T00:00:00Z,9,Christine Lagarde
2021-05-01T00:00:00Z,7,Christine Lagarde
2021-06-01T00:00:00Z,10,Christine Lagarde
2021-07-01T00:00:00Z,9,Christine Lagarde
2021-08-01T00:00:00Z,6,Christine Lagarde
2012-01-01T00:00:00Z,12,Euro
2012-02-01T00:00:00Z,11,Euro
2012-03-01T00:00:00Z,10,Euro
2012-04-01T00:00:00Z,11,Euro
2012-05-01T00:00:00Z,17,Euro
2012-06-01T00:00:00Z,56,Euro
2012-07-01T00:00:00Z,16,Euro
2012-08-01T00:00:00Z,12,Euro
2012-09-01T00:00:00Z,11,Euro
2012-10-01T00:00:00Z,10,Euro
2012-11-01T00:00:00Z,10,Euro
2012-12-01T00:00:00Z,10,Euro
2013-01-01T00:00:00Z,10,Euro
2013-02-01T00:00:00Z,10,Euro
2013-03-01T00:00:00Z,11,Euro
2013-04-01T00:00:00Z,9,Euro
2013-05-01T00:00:00Z,10,Euro
2013-06-01T00:00:00Z,11,Euro
2013-07-01T00:00:00Z,11,Euro
2013-08-01T00:00:00Z,10,Euro
2013-09-01T00:00:00Z,10,Euro
2013-10-01T00:00:00Z,10,Euro
2013-11-01T00:00:00Z,10,Euro
2013-12-01T00:00:00Z,10,Euro
2014-01-01T00:00:00Z,11,Euro
2014-02-01T00:00:00Z,10,Euro
2014-03-01T00:00:00Z,11,Euro
2014-04-01T00:00:00Z,10,Euro
2014-05-01T00:00:00Z,11,Euro
2014-06-01T00:00:00Z,11,Euro
2014-07-01T00:00:00Z,11,Euro
2014-08-01T00:00:00Z,11,Euro
2014-09-01T00:00:00Z,12,Euro
2014-10-01T00:00:00Z,12,Euro
2014-11-01T00:00:00Z,11,Euro
2014-12-01T00:00:00Z,11,Euro
2015-01-01T00:00:00Z,14,Euro
2015-02-01T00:00:00Z,13,Euro
2015-03-01T00:00:00Z,13,Euro
2015-04-01T00:00:00Z,12,Euro
2015-05-01T00:00:00Z,13,Euro
2015-06-01T00:00:00Z,15,Euro
2015-07-01T00:00:00Z,14,Euro
2015-08-01T00:00:00Z,13,Euro
2015-09-01T00:00:00Z,14,Euro
2015-10-01T00:00:00Z,13,Euro
2015-11-01T00:00:00Z,12,Euro
2015-12-01T00:00:00Z,13,Euro
2016-01-01T00:00:00Z,12,Euro
2016-02-01T00:00:00Z,12,Euro
2016-03-01T00:00:00Z,12,Euro
2016-04-01T00:00:00Z,12,Euro
2016-05-01T00:00:00Z,15,Euro
2016-06-01T00:00:00Z,87,Euro
2016-07-01T00:00:00Z,38,Euro
2016-08-01T00:00:00Z,12,Euro
2016-09-01T00:00:00Z,11,Euro
2016-10-01T00:00:00Z,11,Euro
2016-11-01T00:00:00Z,12,Euro
2016-12-01T00:00:00Z,11,Euro
2017-01-01T00:00:00Z,12,Euro
2017-02-01T00:00:00Z,11,Euro
2017-03-01T00:00:00Z,11,Euro
2017-04-01T00:00:00Z,11,Euro
2017-05-01T00:00:00Z,12,Euro
2017-06-01T00:00:00Z,12,Euro
2017-07-01T00:00:00Z,13,Euro
2017-08-01T00:00:00Z,13,Euro
2017-09-01T00:00:00Z,13,Euro
2017-10-01T00:00:00Z,12,Euro
2017-11-01T00:00:00Z,12,Euro
2017-12-01T00:00:00Z,13,Euro
2018-01-01T00:00:00Z,14,Euro
2018-02-01T00:00:00Z,13,Euro
2018-03-01T00:00:00Z,12,Euro
2018-04-01T00:00:00Z,13,Euro
2018-05-01T00:00:00Z,14,Euro
2018-06-01T00:00:00Z,14,Euro
2018-07-01T00:00:00Z,15,Euro
2018-08-01T00:00:00Z,19,Euro
2018-09-01T00:00:00Z,15,Euro
2018-10-01T00:00:00Z,14,Euro
2018-11-01T00:00:00Z,14,Euro
2018-12-01T00:00:00Z,13,Euro
2019-01-01T00:00:00Z,14,Euro
2019-02-01T00:00:00Z,13,Euro
2019-03-01T00:00:00Z,15,Euro
2019-04-01T00:00:00Z,14,Euro
2019-05-01T00:00:00Z,14,Euro
2019-06-01T00:00:00Z,16,Euro
2019-07-01T00:00:00Z,16,Euro
2019-08-01T00:00:00Z,16,Euro
2019-09-01T00:00:00Z,16,Euro
2019-10-01T00:00:00Z,16,Euro
2019-11-01T00:00:00Z,16,Euro
2019-12-01T00:00:00Z,15,Euro
2020-01-01T00:00:00Z,15,Euro
2020-02-01T00:00:00Z,14,Euro
2020-03-01T00:00:00Z,16,Euro
2020-04-01T00:00:00Z,14,Euro
2020-05-01T00:00:00Z,13,Euro
2020-06-01T00:00:00Z,13,Euro
2020-07-01T00:00:00Z,14,Euro
2020-08-01T00:00:00Z,15,Euro
2020-09-01T00:00:00Z,14,Euro
2020-10-01T00:00:00Z,13,Euro
2020-11-01T00:00:00Z,16,Euro
2020-12-01T00:00:00Z,14,Euro
2021-01-01T00:00:00Z,14,Euro
2021-02-01T00:00:00Z,14,Euro
2021-03-01T00:00:00Z,15,Euro
2021-04-01T00:00:00Z,14,Euro
2021-05-01T00:00:00Z,17,Euro
2021-06-01T00:00:00Z,100,Euro
2021-07-01T00:00:00Z,49,Euro
2021-08-01T00:00:00Z,15,Euro
2012-01-01T00:00:00Z,72,European Central Bank
2012-02-01T00:00:00Z,76,European Central Bank
2012-03-01T00:00:00Z,70,European Central Bank
2012-04-01T00:00:00Z,41,European Central Bank
2012-05-01T00:00:00Z,71,European Central Bank
2012-06-01T00:00:00Z,63,European Central Bank
2012-07-01T00:00:00Z,83,European Central Bank
2012-08-01T00:00:00Z,60,European Central Bank
2012-09-01T00:00:00Z,83,European Central Bank
2012-10-01T00:00:00Z,64,European Central Bank
2012-11-01T00:00:00Z,56,European Central Bank
2012-12-01T00:00:00Z,46,European Central Bank
2013-01-01T00:00:00Z,52,European Central Bank
2013-02-01T00:00:00Z,49,European Central Bank
2013-03-01T00:00:00Z,49,European Central Bank
2013-04-01T00:00:00Z,53,European Central Bank
2013-05-01T00:00:00Z,56,European Central Bank
2013-06-01T00:00:00Z,45,European Central Bank
2013-07-01T00:00:00Z,35,European Central Bank
2013-08-01T00:00:00Z,29,European Central Bank
2013-09-01T00:00:00Z,51,European Central Bank
2013-10-01T00:00:00Z,56,European Central Bank
2013-11-01T00:00:00Z,65,European Central Bank
2013-12-01T00:00:00Z,52,European Central Bank
2014-01-01T00:00:00Z,61,European Central Bank
2014-02-01T00:00:00Z,47,European Central Bank
2014-03-01T00:00:00Z,53,European Central Bank
2014-04-01T00:00:00Z,57,European Central Bank
2014-05-01T00:00:00Z,47,European Central Bank
2014-06-01T00:00:00Z,59,European Central Bank
2014-07-01T00:00:00Z,50,European Central Bank
2014-08-01T00:00:00Z,34,European Central Bank
2014-09-01T00:00:00Z,61,European Central Bank
2014-10-01T00:00:00Z,63,European Central Bank
2014-11-01T00:00:00Z,63,European Central Bank
2014-12-01T00:00:00Z,60,European Central Bank
2015-01-01T00:00:00Z,100,European Central Bank
2015-02-01T00:00:00Z,44,European Central Bank
2015-03-01T00:00:00Z,76,European Central Bank
2015-04-01T00:00:00Z,68,European Central Bank
2015-05-01T00:00:00Z,58,European Central Bank
2015-06-01T00:00:00Z,46,European Central Bank
2015-07-01T00:00:00Z,47,European Central Bank
2015-08-01T00:00:00Z,34,European Central Bank
2015-09-01T00:00:00Z,46,European Central Bank
2015-10-01T00:00:00Z,43,European Central Bank
2015-11-01T00:00:00Z,44,European Central Bank
2015-12-01T00:00:00Z,52,European Central Bank
2016-01-01T00:00:00Z,36,European Central Bank
2016-02-01T00:00:00Z,48,European Central Bank
2016-03-01T00:00:00Z,58,European Central Bank
2016-04-01T00:00:00Z,39,European Central Bank
2016-05-01T00:00:00Z,38,European Central Bank
2016-06-01T00:00:00Z,53,European Central Bank
2016-07-01T00:00:00Z,45,European Central Bank
2016-08-01T00:00:00Z,31,European Central Bank
2016-09-01T00:00:00Z,37,European Central Bank
2016-10-01T00:00:00Z,37,European Central Bank
2016-11-01T00:00:00Z,26,European Central Bank
2016-12-01T00:00:00Z,36,European Central Bank
2017-01-01T00:00:00Z,45,European Central Bank
2017-02-01T00:00:00Z,40,European Central Bank
2017-03-01T00:00:00Z,43,European Central Bank
2017-04-01T00:00:00Z,49,European Central Bank
2017-05-01T00:00:00Z,36,European Central Bank
2017-06-01T00:00:00Z,40,European Central Bank
2017-07-01T00:00:00Z,44,European Central Bank
2017-08-01T00:00:00Z,31,European Central Bank
2017-09-01T00:00:00Z,35,European Central Bank
2017-10-01T00:00:00Z,47,European Central Bank
2017-11-01T00:00:00Z,40,European Central Bank
2017-12-01T00:00:00Z,30,European Central Bank
2018-01-01T00:00:00Z,36,European Central Bank
2018-02-01T00:00:00Z,45,European Central Bank
2018-03-01T00:00:00Z,47,European Central Bank
2018-04-01T00:00:00Z,42,European Central Bank
2018-05-01T00:00:00Z,47,European Central Bank
2018-06-01T00:00:00Z,38,European Central Bank
2018-07-01T00:00:00Z,29,European Central Bank
2018-08-01T00:00:00Z,35,European Central Bank
2018-09-01T00:00:00Z,36,European Central Bank
2018-10-01T00:00:00Z,35,European Central Bank
2018-11-01T00:00:00Z,40,European Central Bank
2018-12-01T00:00:00Z,41,European Central Bank
2019-01-01T00:00:00Z,38,European Central Bank
2019-02-01T00:00:00Z,36,European Central Bank
2019-03-01T00:00:00Z,43,European Central Bank
2019-04-01T00:00:00Z,37,European Central Bank
2019-05-01T00:00:00Z,33,European Central Bank
2019-06-01T00:00:00Z,31,European Central Bank
2019-07-01T00:00:00Z,40,European Central Bank
2019-08-01T00:00:00Z,27,European Central Bank
2019-09-01T00:00:00Z,40,European Central Bank
2019-10-01T00:00:00Z,43,European Central Bank
2019-11-01T00:00:00Z,40,European Central Bank
2019-12-01T00:00:00Z,39,European Central Bank
2020-01-01T00:00:00Z,41,European Central Bank
2020-02-01T00:00:00Z,43,European Central Bank
2020-03-01T00:00:00Z,50,European Central Bank
2020-04-01T00:00:00Z,37,European Central Bank
2020-05-01T00:00:00Z,34,European Central Bank
2020-06-01T00:00:00Z,35,European Central Bank
2020-07-01T00:00:00Z,37,European Central Bank
2020-08-01T00:00:00Z,24,European Central Bank
2020-09-01T00:00:00Z,36,European Central Bank
2020-10-01T00:00:00Z,37,European Central Bank
2020-11-01T00:00:00Z,33,European Central Bank
2020-12-01T00:00:00Z,27,European Central Bank
2021-01-01T00:00:00Z,24,European Central Bank
2021-02-01T00:00:00Z,36,European Central Bank
2021-03-01T00:00:00Z,34,European Central Bank
2021-04-01T00:00:00Z,33,European Central Bank
2021-05-01T00:00:00Z,40,European Central Bank
2021-06-01T00:00:00Z,30,European Central Bank
2021-07-01T00:00:00Z,28,European Central Bank
2021-08-01T00:00:00Z,19,European Central Bank
